Conference,Year,Name,Institution,Continent
IEEEcloud,2015,Osama Al-Haj Hassan,Al-Isra University,AS
IEEEcloud,2015,Jorn Altmann,Seoul National University,AS
IEEEcloud,2015,Danilo Ardagna,Politecnico di Milano,EU
IEEEcloud,2015,Bharath Balasubramanian,AT&T Labs,NA
IEEEcloud,2015,Yungang Bao,Chinese Academy of Sciences,AS
IEEEcloud,2015,Karin Becker,Federal University of RGS,SA
IEEEcloud,2015,Elisa Bertino,Purdue University,NA
IEEEcloud,2015,Viraj Bhat,Yahoo,NA
IEEEcloud,2015,Ken Birman,Cornell University,NA
IEEEcloud,2015,Charles Border,Rochester Institute of Technology,NA
IEEEcloud,2015,Ivona Brandić,Vienna University of Technology,EU
IEEEcloud,2015,Mauricio Breternitz,AMD,NA
IEEEcloud,2015,M. Brian Blake,University of Miami,NA
IEEEcloud,2015,Nanjangud C. Narendra,Cognizant Technology Solutions,AS
IEEEcloud,2015,Jiannong Cao,Hong Kong Polytechnic University,AS
IEEEcloud,2015,Giuliano Casale,Imperial College London,EU
IEEEcloud,2015,Rong Chang,IBM China,AS
IEEEcloud,2015,Haopeng Chen,Shanghai Jiao Tong University,AS
IEEEcloud,2015,Feng Chen,Louisiana State University,NA
IEEEcloud,2015,Keke Chen,Wright State University,NA
IEEEcloud,2015,Shigang Chen,University of Florida,NA
IEEEcloud,2015,Songqing Chen,George Mason University,NA
IEEEcloud,2015,Yong Chen,Texas Tech University,NA
IEEEcloud,2015,Han Chen,IBM T. J. Watson Research Center,NA
IEEEcloud,2015,Malolan Chetlur,IBM India,AS
IEEEcloud,2015,Charles Consel,INRIA/Univ. Bordeaux,EU
IEEEcloud,2015,Steve Crago,University of Southern California,NA
IEEEcloud,2015,Bruno Crispo,University of Trento,EU
IEEEcloud,2015,Lizhen Cui,Shandong University,AS
IEEEcloud,2015,Alfredo Cuzzocrea,ICAR-CNR & University of Calabria,EU
IEEEcloud,2015,Dilma Da Silva,Texas A&M University,NA
IEEEcloud,2015,Koustuv Dasgupta,Xerox India,AS
IEEEcloud,2015,Shuiguang Deng,Zhejiang University,AS
IEEEcloud,2015,Roberto Di Pietro,University of Rome,EU
IEEEcloud,2015,Schahram Dustdar,Vienna University of Technology,EU
IEEEcloud,2015,Chang Ee-Chien,National University of Singapore,AS
IEEEcloud,2015,Omer F. Rana,Cardiff University,EU
IEEEcloud,2015,Arash Fard,HP Vertica,NA
IEEEcloud,2015,Elena Ferrari,University of Insubria,EU
IEEEcloud,2015,J. E. (Joao Eduardo) Ferreira,University of Sao Paulo,SA
